CLAVE,CODIGO,ITEM,RESULTADO,DETALLES
29860000307669501011|4531831,29860000307669501011,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307669601018|4531831,29860000307669601018,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307669701015|4531831,29860000307669701015,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307669801012|4531831,29860000307669801012,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307669901019|4531831,29860000307669901019,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670001014|4531831,29860000307670001014,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670101011|4531831,29860000307670101011,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670201018|4531831,29860000307670201018,4531831,INSPECCIÓN,Item: 4531831 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: CHAMARRA PARA HOMBRE DE FIBRAS SINTETICAS
29860000307673401015|4777408,29860000307673401015,4777408,CUMPLE,Item: 4777408 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA CON SUPERFICIE EXTERIOR TEXTIL
29860000307673501012|4777408,29860000307673501012,4777408,CUMPLE,Item: 4777408 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA CON SUPERFICIE EXTERIOR TEXTIL
29860000307673601019|4777408,29860000307673601019,4777408,CUMPLE,Item: 4777408 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA CON SUPERFICIE EXTERIOR TEXTIL
29860000307673701016|4777408,29860000307673701016,4777408,CUMPLE,Item: 4777408 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA CON SUPERFICIE EXTERIOR TEXTIL
29860000307675201013|5419788,29860000307675201013,5419788,CUMPLE,Item: 5419788 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA DE MATERIA TEXTIL
29860000307675301010|5419788,29860000307675301010,5419788,CUMPLE,Item: 5419788 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA DE MATERIA TEXTIL
29860000307675401017|5419788,29860000307675401017,5419788,CUMPLE,Item: 5419788 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MOCHILA DE MATERIA TEXTIL
29860000307676501015|2755808,29860000307676501015,2755808,INSPECCIÓN,Item: 2755808 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: SHORT PARA MUJER DE FIBRAS SINTETICAS
29860000307676601012|2755808,29860000307676601012,2755808,INSPECCIÓN,Item: 2755808 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: SHORT PARA MUJER DE FIBRAS SINTETICAS
29860000307676701019|2755808,29860000307676701019,2755808,INSPECCIÓN,Item: 2755808 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: SHORT PARA MUJER DE FIBRAS SINTETICAS
29860000307661101015|4640712,29860000307661101015,4640712,CUMPLE,Item: 4640712 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MALETA CON SUPERFICIE EXTERIOR TEXTIL
29860000307661201012|4640712,29860000307661201012,4640712,CUMPLE,Item: 4640712 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MALETA CON SUPERFICIE EXTERIOR TEXTIL
29860000307661301019|4640712,29860000307661301019,4640712,CUMPLE,Item: 4640712 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: MALETA CON SUPERFICIE EXTERIOR TEXTIL
29860000307663601012|4498537,29860000307663601012,4498537,INSPECCIÓN,Item: 4498537 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: PATINES EN LINEA
29860000307670301015|4531834,29860000307670301015,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670401012|4531834,29860000307670401012,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670501019|4531834,29860000307670501019,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670601016|4531834,29860000307670601016,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670701013|4531834,29860000307670701013,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670801010|4531834,29860000307670801010,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307670901017|4531834,29860000307670901017,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671001015|4531834,29860000307671001015,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671101012|4531834,29860000307671101012,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671201019|4531834,29860000307671201019,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671301016|4531834,29860000307671301016,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671401013|4531834,29860000307671401013,4531834,INSPECCIÓN,Item: 4531834 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671501010|4531835,29860000307671501010,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671601017|4531835,29860000307671601017,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671701014|4531835,29860000307671701014,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671801011|4531835,29860000307671801011,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307671901018|4531835,29860000307671901018,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307672001016|4531835,29860000307672001016,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307672101013|4531835,29860000307672101013,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307672201010|4531835,29860000307672201010,4531835,INSPECCIÓN,Item: 4531835 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: FORRO POLAR PARA HOMBRE DE FIBRAS SINTETICAS
29860000307673101014|2990055,29860000307673101014,2990055,INSPECCIÓN,Item: 2990055 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio: REVISADO - Descripción: SACOS (BOLSAS) DE DORMIR
29860000308031101015|2176144,29860000308031101015,2176144,CUMPLE,Item: 2176144 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: CUBRESILLIN
29860000308031201012|2385962,29860000308031201012,2385962,SIN DATOS,No se encontró información en el reporte
29860000308031301019|2957926,29860000308031301019,2957926,SIN DATOS,No se encontró información en el reporte
29860000308031601010|4487196,29860000308031601010,4487196,INSPECCIÓN,Item: 4487196 - Tipo: ADHERIBLE - NOM: NOM-050-SCFI-2004 - Criterio: REVISADO - Descripción: CANASTA DE BASQUETBOL
29860000308031701017|4009574,29860000308031701017,4009574,CUMPLE,Item: 4009574 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: BLUSA PARA MUJER DE FIBRAS SINTETICAS
29860000308031801014|4311924,29860000308031801014,4311924,INSPECCIÓN,Item: 4311924 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: PANTALÓN PARA MUJER DE FIBRAS SINTETICAS
29860000308031901011|4311924,29860000308031901011,4311924,INSPECCIÓN,Item: 4311924 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: PANTALÓN PARA MUJER DE FIBRAS SINTETICAS
29860000308032001019|4311933,29860000308032001019,4311933,INSPECCIÓN,Item: 4311933 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: PANTALÓN PARA MUJER DE FIBRAS SINTETICAS
29860000308032101016|4311933,29860000308032101016,4311933,INSPECCIÓN,Item: 4311933 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: PANTALÓN PARA MUJER DE FIBRAS SINTETICAS
29860000308032201013|4311933,29860000308032201013,4311933,INSPECCIÓN,Item: 4311933 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: PANTALÓN PARA MUJER DE FIBRAS SINTETICAS
29860000308032301010|4923140,29860000308032301010,4923140,INSPECCIÓN,Item: 4923140 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: FORRO POLAR PARA NIÑA DE FIBRAS SINTETICAS
29860000308032401017|4923140,29860000308032401017,4923140,INSPECCIÓN,Item: 4923140 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: FORRO POLAR PARA NIÑA DE FIBRAS SINTETICAS
29860000308032501014|4923142,29860000308032501014,4923142,INSPECCIÓN,Item: 4923142 - Tipo: COSTURA - NOM: NOM-004-SE-2021 - Criterio:  - Descripción: FORRO POLAR PARA NIÑA DE FIBRAS SINTETICAS
29860000308032601011|4197016,29860000308032601011,4197016,CUMPLE,Item: 4197016 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: BOTELLA PARA BEBER
29860000308032701018|4489966,29860000308032701018,4489966,CUMPLE,Item: 4489966 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: BOTELLA ISOTERMA
29860000308032801015|4322168,29860000308032801015,4322168,CUMPLE,Item: 4322168 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: ARTICULOS PARA LA CULTURA FISICA (KIT MUSCULACION CON ASAS GANCHOS PARA PUERTAS Y BANDAS ELASTICAS)
29860000308032901012|5099870,29860000308032901012,5099870,CUMPLE,Item: 5099870 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: MANGA DE CULTURISMO HIP
29860000308033001010|2456757,29860000308033001010,2456757,SIN DATOS,No se encontró información en el reporte
29860000308033101017|2456757,29860000308033101017,2456757,SIN DATOS,No se encontró información en el reporte
29860000308033201014|2456757,29860000308033201014,2456757,SIN DATOS,No se encontró información en el reporte
29860000308033301011|4135366,29860000308033301011,4135366,INSPECCIÓN,Item: 4135366 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: PELOTA DE GIMNASIO RESITENTE AL FITNESS
29860000308033401018|4135366,29860000308033401018,4135366,INSPECCIÓN,Item: 4135366 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: PELOTA DE GIMNASIO RESITENTE AL FITNESS
29860000308033501015|4820923,29860000308033501015,4820923,CUMPLE,Item: 4820923 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: ARO NARANJA SUAVE PARA REALIZAR LANZMIENTOS DE LARGA DISTANCIA
29860000308033601012|4108219,29860000308033601012,4108219,CUMPLE,Item: 4108219 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: RAQUETA DE PADEL
29860000308033701019|4108219,29860000308033701019,4108219,CUMPLE,Item: 4108219 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: RAQUETA DE PADEL
29860000308033801016|4108219,29860000308033801016,4108219,CUMPLE,Item: 4108219 - Tipo: CUMPLE - NOM: NOM-050-SCFI-2004 - Criterio: CUMPLE - Descripción: RAQUETA DE PADEL
29860000308033901013|4237278,29860000308033901013,4237278,CUMPLE,Item: 4237278 - Tipo: CUMPLE - NOM: NOM-004-SE-2021 - Criterio: CUMPLE - Descripción: GORRA TENIS
29890000018531401014|4309964,29890000018531401014,4309964,INSPECCIÓN,Item: 4309964 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio:  - Descripción: BICICLETAS PARA NIÑOS
29890000018533501013|4482595,29890000018533501013,4482595,INSPECCIÓN,Item: 4482595 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETAS PARA NIÑOS
29890000018533601010|4482595,29890000018533601010,4482595,INSPECCIÓN,Item: 4482595 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETAS PARA NIÑOS
29890000018533701017|4482595,29890000018533701017,4482595,INSPECCIÓN,Item: 4482595 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETAS PARA NIÑOS
29890000018533801014|4482595,29890000018533801014,4482595,INSPECCIÓN,Item: 4482595 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETAS PARA NIÑOS
29890000018533901011|4482595,29890000018533901011,4482595,INSPECCIÓN,Item: 4482595 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETAS PARA NIÑOS
29890000018535501015|5145321,29890000018535501015,5145321,INSPECCIÓN,Item: 5145321 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio: REVISADO - Descripción: BICICLETA PARA NIÑO
29890000018529501012|2430977,29890000018529501012,2430977,SIN DATOS,No se encontró información en el reporte
29890000018529601019|2430977,29890000018529601019,2430977,SIN DATOS,No se encontró información en el reporte
29890000018529701016|2430977,29890000018529701016,2430977,SIN DATOS,No se encontró información en el reporte
29890000018529801013|2430977,29890000018529801013,2430977,SIN DATOS,No se encontró información en el reporte
29890000018529901010|2430977,29890000018529901010,2430977,SIN DATOS,No se encontró información en el reporte
29890000018530001015|2430977,29890000018530001015,2430977,SIN DATOS,No se encontró información en el reporte
29900000171291401015|5513286,29900000171291401015,5513286,INSPECCIÓN,Item: 5513286 - Tipo: ADHERIBLE - NOM: NOM-015-SCFI-2007 - Criterio:  - Descripción: PATIN PARA NIÑOS
